t,theta,omega
9.61,-0.398826,2.06504
9.62,-0.378175,2.10313
9.63,-0.357144,2.13935
9.64,-0.33575,2.17365
9.65,-0.314014,2.20597
9.66,-0.291954,2.23627
9.67,-0.269591,2.26451
9.68,-0.246946,2.29064
9.69,-0.22404,2.31462
9.7,-0.200894,2.33641
9.71,-0.17753,2.35599
9.72,-0.15397,2.37331
9.73,-0.130237,2.38836
9.74,-0.106353,2.4011
9.75,-0.0823422,2.41151
9.76,-0.0582271,2.41958
9.77,-0.0340313,2.42529
9.78,-0.00977842,2.42862
9.79,0.0145078,2.42958
9.8,0.0388037,2.42816
9.81,0.0630853,2.42436
9.82,0.0873288,2.41817
9.83,0.111511,2.40961
9.84,0.135607,2.3987
9.85,0.159594,2.38544
9.86,0.183448,2.36985
9.87,0.207146,2.35195
9.88,0.230666,2.33177
9.89,0.253984,2.30935
9.9,0.277077,2.2847
9.91,0.299924,2.25786
9.92,0.322503,2.22888
9.93,0.344792,2.19779
9.94,0.366769,2.16463
9.95,0.388416,2.12945
9.96,0.40971,2.0923
9.97,0.430633,2.05322
9.98,0.451165,2.01227
9.99,0.471288,1.9695
10,0.490983,1.92496
