tau,t,y,v
0.1,16.8,-0.473041,0.881041
0.1,16.9,-0.382797,0.923833
0.1,17,-0.288735,0.957409
0.1,17.1,-0.191793,0.981435
0.1,17.2,-0.0929372,0.995672
0.1,17.3,0.00684527,0.999977
0.1,17.4,0.106559,0.994306
0.1,17.5,0.205211,0.978718
0.1,17.6,0.301815,0.953367
0.1,17.7,0.395408,0.918505
0.1,17.8,0.485058,0.874482
0.1,17.9,0.569869,0.821736
0.1,18,0.648995,0.760793
0.1,18.1,0.721648,0.69226
0.1,18.2,0.787102,0.616823
0.1,18.3,0.844705,0.535233
0.1,18.4,0.893882,0.448303
0.1,18.5,0.934142,0.356902
0.1,18.6,0.965084,0.261941
0.1,18.7,0.986399,0.164367
0.1,18.8,0.997875,0.0651529
0.1,18.9,0.999397,-0.0347107
0.1,19,0.99095,-0.134228
0.1,19.1,0.972619,-0.232407
0.1,19.2,0.944585,-0.328267
0.1,19.3,0.907129,-0.420852
0.1,19.4,0.860624,-0.50924
0.1,19.5,0.805535,-0.592548
0.1,19.6,0.74241,-0.669945
0.1,19.7,0.67188,-0.74066
0.1,19.8,0.594648,-0.803986
0.1,19.9,0.511484,-0.859293
0.1,20,0.423218,-0.906028
0.1,20.1,0.33073,-0.943725
0.1,20.2,0.234943,-0.972009
0.1,20.3,0.136813,-0.990597
0.1,20.4,0.0373181,-0.999303
0.1,20.5,-0.0625491,-0.998042
0.1,20.6,-0.161792,-0.986825
0.1,20.7,-0.259422,-0.965764
0.1,20.8,-0.354464,-0.93507
0.1,20.9,-0.44597,-0.895048
0.1,21,-0.533027,-0.846098
0.1,21.1,-0.614767,-0.788709
0.1,21.2,-0.690375,-0.723452
0.1,21.3,-0.759097,-0.650978
0.1,21.4,-0.820246,-0.572011
0.1,21.5,-0.873214,-0.487338
0.1,21.6,-0.917471,-0.397804
0.1,21.7,-0.952576,-0.304301
0.1,21.8,-0.978179,-0.207764
0.1,21.9,-0.994025,-0.109153
0.1,22,-0.999955,-0.00945432
0.1,22.1,-0.995911,0.090339
0.1,22.2,-0.981933,0.189231
0.1,22.3,-0.958159,0.286236
0.1,22.4,-0.924828,0.380385
0.1,22.5,-0.882272,0.47074
0.1,22.6,-0.830915,0.556399
0.1,22.7,-0.77127,0.636509
0.1,22.8,-0.703931,0.710269
0.1,22.9,-0.62957,0.776944
0.1,23,-0.548929,0.835869
0.1,23.1,-0.462813,0.886456
0.1,23.2,-0.37208,0.928201
0.1,23.3,-0.277636,0.960686
0.1,23.4,-0.180422,0.983589
0.1,23.5,-0.0814087,0.996681
0.1,23.6,0.0184168,0.99983
0.1,23.7,0.118059,0.993007
0.1,23.8,0.216523,0.976278
0.1,23.9,0.312827,0.94981
0.1,24,0.406011,0.913868
0.1,24.1,0.495145,0.86881
0.1,24.2,0.57934,0.815086
0.1,24.3,0.657756,0.753231
0.1,24.4,0.72961,0.683863
0.1,24.5,0.794187,0.607673
0.1,24.6,0.850842,0.525422
0.1,24.7,0.89901,0.437929
0.1,24.8,0.938209,0.346068
0.1,24.9,0.968051,0.250755
0.1,25,0.988235,0.152941
0.1,25.1,0.998562,0.0536009
0.05,0,1,0
0.05,0.05,0.998751,-0.0499688
0.05,0.1,0.995006,-0.0998127
0.05,0.15,0.988776,-0.149407
0.05,0.2,0.980075,-0.198629
0.05,0.25,0.968925,-0.247354
0.05,0.3,0.955355,-0.295461
0.05,0.35,0.939398,-0.342829
0.05,0.4,0.921093,-0.389342
0.05,0.45,0.900488,-0.434881
0.05,0.5,0.877632,-0.479334
0.05,0.55,0.852584,-0.52259
0.05,0.6,0.825406,-0.564539
0.05,0.65,0.796166,-0.605079
0.05,0.7,0.764936,-0.644106
0.05,0.75,0.731795,-0.681524
0.05,0.8,0.696826,-0.71724
0.05,0.85,0.660116,-0.751164
0.05,0.9,0.621757,-0.78321
0.05,0.95,0.581844,-0.8133
0.05,1,0.540478,-0.841358
0.05,1.05,0.497761,-0.867314
0.05,1.1,0.4538,-0.891103
0.05,1.15,0.408706,-0.912666
0.05,1.2,0.362591,-0.931949
0.05,1.25,0.315569,-0.948903
0.05,1.3,0.26776,-0.963486
0.05,1.35,0.219281,-0.975662
0.05,1.4,0.170254,-0.9854
0.05,1.45,0.120803,-0.992677
0.05,1.5,0.0710488,-0.997473
0.05,1.55,0.0211176,-0.999777
0.05,1.6,-0.0288665,-0.999583
0.05,1.65,-0.0787783,-0.996892
0.05,1.7,-0.128493,-0.99171
0.05,1.75,-0.177887,-0.984051
0.05,1.8,-0.226837,-0.973933
